Model,AUC (Mean ± SD),95% CI of Difference,P-value vs Proposed
Proposed Transformer,0.748 ± 0.058,-,-
Random Forest,0.911 ± 0.024,"[-0.254, -0.071]",0.0078 (**)
XGBoost,0.889 ± 0.017,"[-0.227, -0.054]",0.0106 (*)
Logistic Regression,0.912 ± 0.018,"[-0.260, -0.067]",0.0093 (**)
SVM (RBF),0.898 ± 0.025,"[-0.251, -0.048]",0.0151 (*)
Gradient Boosting,0.885 ± 0.041,"[-0.241, -0.031]",0.0227 (*)
MLP (Deep),0.906 ± 0.029,"[-0.255, -0.061]",0.0107 (*)
ResNet (Tabular),0.882 ± 0.018,"[-0.233, -0.034]",0.0205 (*)
TabNet,0.895 ± 0.022,"[-0.217, -0.076]",0.0045 (**)
